batch,code,size,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_content,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,impurities_scaled,tbl_tensile,Drug release average
191,17,960000,3,50,4,6,5,93.8,0.055,18.61694993232948,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.0,4.0,4.1,224.0,229.0,0.81,0.61,58.8,85.26,57,42.0,86.0,76.44,8.1,8.1,98.107,98.153,87.92,78,0.03,0.06,0.06,0.05,99.93721205,4.583333333,59.89583333,1371.354167,11454,79.98139947,21,6.615909091,3.395393359,5.1,6.78001149594514,0.637572738,7.9,0.0,6.287505235,0.078584488,1.990125636,49.36553993,58,39,200.6530063,255,110,0.59,7.830232558,6.053488372,87.92,78.0,0.03,0.06,0.06,0.05,0.04347826086956519,2.3219485979422467,101.71565365474204
192,17,960000,3,50,4,6,5,94.0,0.055,18.4450210527494,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.0,4.0,4.1,222.0,228.0,0.78,0.65,66.64,88.2,55,42.0,74.0,76.44,8.1,8.1,99.102,99.242,88.17,83,0.05,0.14,0.06,0.05,99.98050074,1.5625,33.125,446.5625,4149,79.98174323,11,9.294736842,3.310601125,7.7,7.872936299081176,0.091237054,6.9,0.0,6.272200178,0.096558605,2.020242819,54.12466686,59,43,191.3313592,224,121,0.28,6.738888889,6.226666667,88.17,83.0,0.05,0.14,0.06,0.05,0.3913043478260869,1.8291474013758653,102.7
193,17,960000,3,50,4,6,5,94.0,0.055,18.64978091326908,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.0,4.1,4.1,221.0,230.0,1.97,1.03,62.72,84.28,48,37.0,66.0,69.58,8.1,8.1,98.911,98.911,90.33,85,0.03,0.1,0.05,0.05,119.9003173,5.625,42.08333333,834.5833333,7503,79.95560254,12,6.2,5.807503556,8.6,7.276416468529461,0.144913545,6.0,0.0,6.336905016,0.091535097,2.104581999,64.80184988,71,0,206.1586624,223,0,0.36,6.452,6.0888,90.33,85.0,0.03,0.1,0.05,0.05,0.21739130434782605,2.2364096755953655,101.61085973320581
194,17,960000,3,51,4,6,5,94.0,0.055,19.055060435712726,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.0,4.0,4.1,222.0,234.0,1.37,1.36,58.8,85.26,53,41.0,69.0,70.56,8.1,8.1,99.384,99.384,88.5,85,0.04,0.05,0.05,0.05,119.9971429,1.458333333,24.16666667,517.3958333,4820,80.0,9,7.423529412,5.808868393,8.8,6.464211268839202,0.088403281,6.5,0.0,6.355306846,0.096265265,2.073554452,66.97339482,71,60,207.2937212,226,193,0.7,6.15,6.02125,88.5,85.0,0.04,0.05,0.05,0.05,0.0,2.025055018311558,102.7
224,17,960000,3,51,4,6,5,93.5,0.055,17.69013045838606,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,4.0,4.1,4.0,4.1,218.0,227.0,1.3,1.0,56.84,78.4,42,28.0,57.0,66.64,8.0,8.1,97.491,97.491,91.5,84,0.02,0.28,0.08,0.05,159.8995843,10.9375,73.64583333,1605.416667,13050,79.97090069,20,22.38484848,5.163602251,8.9,12.011256992952676,0.123573918,6.0,0.0,6.860816135,0.074585606,1.828555347,240.9272983,266,17,480.7420263,540,189,1.07,4.712121212,6.307575758,91.5,84.0,0.02,0.28,0.08,0.05,0.9999999999999999,0.8200021691180492,98.49267585128354
225,17,960000,3,51,4,6,5,93.5,0.055,18.625002183432724,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.1,4.1,4.1,220.0,229.0,1.35,1.1,54.88,73.5,47,24.0,62.0,67.62,8.0,8.1,99.431,99.29,91.17,82,0.02,0.13,0.07,0.05,159.9747832,4.6875,48.4375,409.375,3740,79.95133333,8,10.975,5.565524194,7.6,7.536008215658498,0.145468251,7.2,0.007526882,6.949240591,0.0439542,1.823091398,236.3837366,271,216,483.0477151,549,365,0.12,6.772727273,6.853636364,91.17,82.0,0.02,0.13,0.07,0.05,0.3478260869565216,1.627791767597664,102.7
226,17,960000,3,85,4,6,5,93.5,0.055,18.60741204220202,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,3.9,4.0,4.0,4.0,221.0,229.0,1.04,1.14,72.52,88.2,49,36.0,60.0,81.34,8.0,8.1,99.146,98.958,88.17,83,0.02,0.12,0.07,0.05,159.9761714,1.145833333,13.125,418.125,3989,79.94916388,9,7.163636364,4.811725067,6.1,7.3430539480870145,0.131877446,7.4,0.124191375,6.843645553,0.037876699,1.809595687,238.9238544,247,204,471.1091644,527,176,0.4,8.04,6.612,88.17,83.0,0.02,0.12,0.07,0.05,0.30434782608695643,2.136716713204167,102.7
227,17,960000,3,85,4,6,5,94.1,0.055,18.88597582193468,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,4.0,4.1,4.0,4.1,221.0,229.0,1.86,0.94,66.64,76.44,49,34.0,60.0,71.54,8.1,8.1,98.389,98.295,87.0,83,0.03,0.08,0.05,0.05,160.0,1.458333333,54.27083333,1226.25,11734,79.88070893,14,5.516129032,5.249094708,7.1,6.790332592795142,0.12858105,6.8,0.094637883,6.835111421,0.055381365,1.874178273,231.6497214,243,187,452.1594708,510,367,0.36,7.682142857,6.742142857,87.0,83.0,0.03,0.08,0.05,0.05,0.13043478260869562,1.7600901652212002,101.97854315785861
228,17,960000,3,85,4,6,5,94.1,0.055,18.935795416383918,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,4.0,4.1,4.0,4.1,219.0,228.0,1.18,1.23,54.88,80.36,52,40.0,63.0,70.56,8.0,8.1,99.242,99.242,92.83,88,0.05,0.05,0.05,0.05,160.0,0.625,25.10416667,339.4791667,3250,79.9566343,8,7.96,5.638436482,7.4,6.436780086138456,0.132073401,7.1,0.199478827,6.971993485,0.05740192,1.86267101,213.971987,234,194,431.7218241,490,351,0.32,7.388888889,6.721111111,92.83,88.0,0.05,0.05,0.05,0.05,0.0,2.4,102.30308508769298
229,17,960000,3,86,4,6,5,94.1,0.055,18.75346966877972,49,82,4.586,0.45,0.35,35.309,126.824,260.205,4.4,1.886,4.0,4.1,4.1,4.1,221.0,232.0,1.59,1.32,56.84,78.4,46,33.0,58.0,68.6,8.0,8.1,98.342,98.295,90.67,89,0.03,0.05,0.05,0.05,160.0,1.041666667,26.14583333,1227.1875,11746,79.95724138,9,5.957142857,5.672362869,7.7,6.836377487082581,0.127041187,6.7,0.225527426,6.913255977,0.069807339,1.925956399,223.164557,240,192,405.9683544,481,344,0.41,6.574074074,6.691851852,90.67,89.0,0.03,0.05,0.05,0.05,0.0,2.4,100.30787953656719
